product_id,default_code,reference,source_filename,source_jpeg_path,shop_tile_status,shop_tile_recipe_version,shop_tile_source_run,shop_tile_moa_note,audit_source_png,audit_class,audit_reason,audit_opaque_ratio,audit_corner_luminance,audit_corner_uniformity,audit_periphery_entropy,audit_background_seed_rgb
163,,Mix beignets manioc,14_product-163_mix-beignets-manioc.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/14_product-163_mix-beignets-manioc.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120102Z/14_product-163_mix-beignets-manioc.png,packshot_alpha,flood-fill opaque 25% · luminance coins 255 · entropie 0.00,0.2461,255.0,0.0,0.0,#FFFFFF
164,,Miel créole baie rose,15_product-164_miel-creole-baie-rose.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/15_product-164_miel-creole-baie-rose.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable dans une scène chaude ; étiquette peu lisible mais rendu exploitable.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120104Z/15_product-164_miel-creole-baie-rose.jpg,lifestyle,opaque 100% > 65 % (lifestyle) · luminance 101 < 180,1.0,100.9,242.61,0.2635,#8A7469
177,,Coffret gourmand îles créoles,16_product-177_coffret-gourmand-iles-creoles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/16_product-177_coffret-gourmand-iles-creoles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Coffret lisible; poids visuel équilibré; rendu premium acceptable.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120108Z/16_product-177_coffret-gourmand-iles-creoles.jpg,lifestyle,opaque 74% > 65 % (lifestyle),0.7419,238.1,39.86,0.0113,#F2F2F2
178,,Palets manioc croustillants La Platine,17_product-178_palets-manioc-croustillants-la-platine.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/17_product-178_palets-manioc-croustillants-la-platine.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Sachet lisible et correctement isolé ; fond baked-in cohérent.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120112Z/17_product-178_palets-manioc-croustillants-la-platine.png,lifestyle,luminance 126 < 180,0.3674,126.0,436.48,0.209,#FCFCFC
179,,Mélange épices caraïbes,18_product-179_melange-epices-caraibes.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/18_product-179_melange-epices-caraibes.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Ambiance attractive ; réserve sur identification exacte du produit.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120113Z/18_product-179_melange-epices-caraibes.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 143 < 180,0.9913,143.3,392.65,0.2162,#B1A19D
180,,Tartinade coco citron vert,19_product-180_tartinade-coco-citron-vert.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/19_product-180_tartinade-coco-citron-vert_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120117Z/19_product-180_tartinade-coco-citron-vert.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 154 < 180,0.9887,153.5,360.41,0.1418,#E1D8C6
181,,Assortiment apéritif créole,20_product-181_assortiment-aperitif-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/20_product-181_assortiment-aperitif-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Assortiment lisible et cohérent ; réserve sur densité de scène.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120119Z/20_product-181_assortiment-aperitif-creole.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 122 < 180,0.9921,121.8,354.07,0.268,#7B6A58
183,,Chips banane plantain salées,22_product-183_chips-banane-plantain-salees.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/22_product-183_chips-banane-plantain-salees.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120125Z/22_product-183_chips-banane-plantain-salees.png,needs_review,opaque 61% entre 55–65 % · entropie 0.23,0.6088,235.7,150.28,0.2311,#FFFFFF
184,,Semoule manioc fine Mayotte,23_product-184_semoule-manioc-fine-mayotte.png,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_manioc_sources/output/jpeg/23_product-184_semoule-manioc-fine-mayotte_source_distincte.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_manioc_sources,Manioc source distincte — OK avec réserve MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120126Z/23_product-184_semoule-manioc-fine-mayotte.png,lifestyle,opaque 87% > 65 % (lifestyle) · luminance 78 < 180,0.8658,78.2,184.19,0.1138,#787876
185,,Confiture fruits de la passion,24_product-185_confiture-fruits-de-la-passion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/24_product-185_confiture-fruits-de-la-passion.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable mais petit dans la scène ; acceptable avec réserve de lisibilité mobile.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120127Z/24_product-185_confiture-fruits-de-la-passion.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 96 < 180,0.9872,95.6,210.32,0.0963,#554B41
186,,Trio sirops des Antilles,25_product-186_trio-sirops-des-antilles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/25_product-186_trio-sirops-des-antilles.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Trio cohérent et chaleureux ; réserve sur lisibilité des étiquettes.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120130Z/25_product-186_trio-sirops-des-antilles.jpg,lifestyle,opaque 100% > 65 % (lifestyle),0.9998,193.5,160.47,0.1328,#CFCBC8
187,,Marinade jerk authentique,26_product-187_marinade-jerk-authentique.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/26_product-187_marinade-jerk-authentique.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120133Z/26_product-187_marinade-jerk-authentique.png,packshot_alpha,flood-fill opaque 26% · luminance coins 250 · entropie 0.00,0.2585,249.8,4.12,0.0031,#FAFAFA
188,,Coffret biscuits et douceurs,27_product-188_coffret-biscuits-et-douceurs.jpg,tools/ck_image_normalizer/reports/runs/pilote_20260520_lot_m_corrige/output/jpeg/27_product-188_coffret-biscuits-et-douceurs_corrige.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520_lot_m_corrige,Lot M corrigé MOA,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120137Z/27_product-188_coffret-biscuits-et-douceurs.jpg,lifestyle,luminance 166 < 180,0.415,166.0,281.77,0.1668,#E4D8C7
,CK-MO-028,Sauce scotch bonnet créole,28_ck-mo-028_sauce-scotch-bonnet-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/28_ck-mo-028_sauce-scotch-bonnet-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Bouteille lisible et vendeuse ; réserve légère sur scène très présente.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120140Z/28_ck-mo-028_sauce-scotch-bonnet-creole.png,lifestyle,opaque 74% > 65 % (lifestyle) · luminance 147 < 180,0.7422,147.2,267.41,0.0824,#CDCDCA
,CK-MO-029,Confiture goyave rose,29_ck-mo-029_confiture-goyave-rose.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/29_ck-mo-029_confiture-goyave-rose.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot identifiable mais petit ; acceptable avec réserve de poids visuel.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120145Z/29_ck-mo-029_confiture-goyave-rose.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 96 < 180,0.9872,95.6,210.32,0.0963,#554B41
,CK-MO-030,Pochette curry des Antilles,30_ck-mo-030_pochette-curry-des-antilles.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/30_ck-mo-030_pochette-curry-des-antilles.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pochette produit claire ; légère réserve sur intégration fond/carte.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120148Z/30_ck-mo-030_pochette-curry-des-antilles.png,lifestyle,opaque 80% > 65 % (lifestyle),0.8011,214.1,37.96,0.2665,#DAD6DB
,CK-MO-031,Marinade jerk citron vert,31_ck-mo-031_marinade-jerk-citron-vert.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/31_ck-mo-031_marinade-jerk-citron-vert.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120153Z/31_ck-mo-031_marinade-jerk-citron-vert.png,packshot_alpha,flood-fill opaque 26% · luminance coins 250 · entropie 0.00,0.2585,249.8,4.12,0.0031,#FAFAFA
,CK-MO-032,Biscuits banane confiture,32_ck-mo-032_biscuits-banane-confiture.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/32_ck-mo-032_biscuits-banane-confiture.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120157Z/32_ck-mo-032_biscuits-banane-confiture.jpg,lifestyle,luminance 166 < 180,0.415,166.0,281.77,0.1668,#E4D8C7
,CK-MO-033,Palettes coco vanille,33_ck-mo-033_palettes-coco-vanille.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/33_ck-mo-033_palettes-coco-vanille.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120159Z/33_ck-mo-033_palettes-coco-vanille.png,packshot_alpha,flood-fill opaque 25% · luminance coins 255 · entropie 0.00,0.2461,255.0,0.0,0.0,#FFFFFF
,CK-MO-034,Chips patate douce créole,34_ck-mo-034_chips-patate-douce-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/34_ck-mo-034_chips-patate-douce-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120201Z/34_ck-mo-034_chips-patate-douce-creole.png,needs_review,opaque 61% entre 55–65 % · entropie 0.23,0.6088,235.7,150.28,0.2311,#FFFFFF
,CK-MO-035,Crackers sarrasin Réunion,35_ck-mo-035_crackers-sarrasin-reunion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/35_ck-mo-035_crackers-sarrasin-reunion.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,Sachet bien isolé; lisible; rendu propre pour tuile commerce.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120201Z/35_ck-mo-035_crackers-sarrasin-reunion.png,lifestyle,luminance 126 < 180,0.3674,126.0,436.48,0.209,#FCFCFC
,CK-MO-036,Sauce chien antillaise,36_ck-mo-036_sauce-chien-antillaise.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/36_ck-mo-036_sauce-chien-antillaise.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120202Z/36_ck-mo-036_sauce-chien-antillaise.png,lifestyle,opaque 100% > 65 % (lifestyle) · luminance 86 < 180,1.0,86.0,267.06,0.1942,#718386
,CK-MO-037,Tapenade agrumes confits,37_ck-mo-037_tapenade-agrumes-confits.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/37_ck-mo-037_tapenade-agrumes-confits.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120205Z/37_ck-mo-037_tapenade-agrumes-confits.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 154 < 180,0.9887,153.5,360.41,0.1418,#E1D8C6
,CK-MO-038,Confiture christophine gingembre,38_ck-mo-038_confiture-christophine-gingembre.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/38_ck-mo-038_confiture-christophine-gingembre.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120208Z/38_ck-mo-038_confiture-christophine-gingembre.jpg,lifestyle,opaque 92% > 65 % (lifestyle),0.9199,202.4,135.51,0.03,#E5E2D9
,CK-MO-039,Confiture papaye muscovado,39_ck-mo-039_confiture-papaye-muscovado.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/39_ck-mo-039_confiture-papaye-muscovado.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120212Z/39_ck-mo-039_confiture-papaye-muscovado.jpg,lifestyle,opaque 84% > 65 % (lifestyle),0.839,190.7,187.16,0.2387,#97CBF0
,CK-MO-040,Quatre épices créoles,40_ck-mo-040_quatre-epices-creoles.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/40_ck-mo-040_quatre-epices-creoles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120215Z/40_ck-mo-040_quatre-epices-creoles.jpg,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 170 < 180,0.9904,169.9,219.06,0.0695,#B2A199
,CK-MO-041,Poudre colombo créole,41_ck-mo-041_poudre-colombo-creole.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/41_ck-mo-041_poudre-colombo-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120217Z/41_ck-mo-041_poudre-colombo-creole.jpg,lifestyle,opaque 100% > 65 % (lifestyle),0.9998,193.5,160.47,0.1328,#CFCBC8
,CK-MO-042,Bouillon légumes des îles,42_ck-mo-042_bouillon-legumes-des-iles.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/42_ck-mo-042_bouillon-legumes-des-iles.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120220Z/42_ck-mo-042_bouillon-legumes-des-iles.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 143 < 180,0.9913,143.3,392.65,0.2162,#B1A19D
,CK-MO-043,Rougail tomate créole,43_ck-mo-043_rougail-tomate-creole.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/43_ck-mo-043_rougail-tomate-creole.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120223Z/43_ck-mo-043_rougail-tomate-creole.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 122 < 180,0.9921,121.8,354.07,0.268,#7B6A58
,CK-MO-044,Sirop jambosier,44_ck-mo-044_sirop-jambosier.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/44_ck-mo-044_sirop-jambosier.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120226Z/44_ck-mo-044_sirop-jambosier.png,lifestyle,opaque 99% > 65 % (lifestyle),0.9918,207.6,158.61,0.2872,#DEE2D4
,CK-MO-046,Jus goyave passion,46_ck-mo-046_jus-goyave-passion.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/46_ck-mo-046_jus-goyave-passion.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120232Z/46_ck-mo-046_jus-goyave-passion.png,lifestyle,opaque 100% > 65 % (lifestyle) · luminance 86 < 180,1.0,86.0,267.06,0.1942,#718386
,CK-MO-047,Infusion bois bandé,47_ck-mo-047_infusion-bois-bande.png,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/47_ck-mo-047_infusion-bois-bande.jpg,validated,ck_shop_tile_v1.1,pilote_20260520,,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120235Z/47_ck-mo-047_infusion-bois-bande.png,lifestyle,opaque 99% > 65 % (lifestyle) · luminance 143 < 180,0.9913,143.3,392.65,0.2162,#B1A19D
,CK-MO-050,Miel polyfloral créole,50_ck-mo-050_miel-polyfloral-creole.jpg,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/output/jpeg/50_ck-mo-050_miel-polyfloral-creole.jpg,validated_reserve,ck_shop_tile_v1.1,pilote_20260520,Pot miel identifiable dans une scène premium ; réserve sur lisibilité étiquette.,/Users/doreviateam/dorevia-saas/tools/ck_image_normalizer/reports/runs/pilote_20260520/archive/orig/20260520T120242Z/50_ck-mo-050_miel-polyfloral-creole.jpg,lifestyle,opaque 100% > 65 % (lifestyle) · luminance 101 < 180,1.0,100.9,242.61,0.2635,#8A7469
